oracion_español,oracion_transformada_lse
El pregonero anuncia el mercado en el pueblo cada semana.,PUEBLO CADA SEMANA PREGONERO MERCADO ANUNCIAR
Los encuadernadores restauran libros en el taller a diario.,TALLER A DIARIO ENCUADERNADORES LIBROS RESTAURAR
Carmen contesta emails en la oficina cada mañana.,OFICINA CADA MAÑANA CARMEN EMAILS CONTESTAR
El confitero envuelve caramelos en la tienda todo el día.,TIENDA TODO DÍA CONFITERO CARAMELOS ENVOLVER
Los paragüeros reparaban paraguas en las calles hace décadas.,PASADO CALLES DÉCADAS PARAGÜEROS PARAGUAS REPARAR
Mi abuela alimenta las gallinas en el corral cada mañana.,CORRAL CADA MAÑANA MI ABUELA GALLINAS ALIMENTAR
El afilador afila cuchillos en el barrio cada mes.,BARRIO CADA MES AFILADOR CUCHILLOS AFILAR
Los volatineros hacen piruetas en la cuerda cada función.,CUERDA CADA FUNCIÓN VOLATINEROS PIRUETAS HACER
María empaqueta regalos en la tienda durante las navidades.,TIENDA NAVIDADES MARÍA REGALOS EMPAQUETAR
El curtidor trabaja las pieles en la curtiduría cada día.,CURTIDURÍA CADA DÍA CURTIDOR PIELES TRABAJAR
Los pregoneros anuncian mercancías en la feria cada hora.,FERIA CADA HORA PREGONEROS MERCANCÍAS ANUNCIAR
Mi tío pesca truchas en el río cada primavera.,RÍO CADA PRIMAVERA MI TÍO TRUCHAS PESCAR
El volatinero camina sobre la cuerda en el circo cada noche.,CIRCO CADA NOCHE VOLATINERO CUERDA CAMINAR
Los colmeneros recolectan cera en el colmenar cada verano.,COLMENAR CADA VERANO COLMENEROS CERA RECOLECTAR
Carmen revisa facturas en la gestoría cada tarde.,GESTORÍA CADA TARDE CARMEN FACTURAS REVISAR
El carbonero vendía carbón por las casas en invierno.,PASADO CASAS INVIERNO CARBONERO CARBÓN VENDER
Los aguadores llenaban cántaros en la fuente cada día.,PASADO FUENTE CADA DÍA AGUADORES CÁNTAROS LLENAR
Mi hermano colecciona monedas en su casa desde hace años.,CASA AÑOS MI HERMANO MONEDAS COLECCIONAR
El botero rema en el lago durante el verano.,LAGO VERANO BOTERO REMAR
Los traperos recogían ropa vieja por las calles antiguamente.,PASADO CALLES ANTIGUAMENTE TRAPEROS ROPA VIEJA RECOGER
Ana diseña logos en su estudio cada semana.,ESTUDIO CADA SEMANA ANA LOGOS DISEÑAR
El hojalatero fabrica latas en su taller todos los días.,TALLER TODOS DÍAS HOJALATERO LATAS FABRICAR
Los aguadores transportaban agua en burros hace tiempo.,PASADO BURROS TIEMPO AGUADORES AGUA TRANSPORTAR
Mi madre encera los muebles en casa cada mes.,CASA CADA MES MI MADRE MUEBLES ENCERAR
El perfumista crea fragancias en el laboratorio a diario.,LABORATORIO A DIARIO PERFUMISTA FRAGANCIAS CREAR
Los saltimbanquis actúan en las ferias durante el verano.,FERIAS VERANO SALTIMBANQUIS ACTUAR
Carmen ojea revistas en la peluquería cada vez que va.,PELUQUERÍA CADA VEZ CARMEN REVISTAS OJEAR
El pelaire cardaba la lana en el taller hace siglos.,PASADO TALLER SIGLOS PELAIRE LANA CARDAR
Los orfebres diseñan joyas en sus talleres cada día.,TALLERES CADA DÍA ORFEBRES JOYAS DISEÑAR
Mi tío rastrea setas en el monte cada otoño.,MONTE CADA OTOÑO MI TÍO SETAS RASTREAR
El pregonero grita las noticias en la plaza cada mañana.,PLAZA CADA MAÑANA PREGONERO NOTICIAS GRITAR
Los cocheros transportaban pasajeros en carruajes hace años.,PASADO AÑOS COCHEROS PASAJEROS TRANSPORTAR
Ana envía comunicados en la empresa cada semana.,EMPRESA CADA SEMANA ANA COMUNICADOS ENVIAR
El sombrerero confecciona sombreros en su tienda a diario.,TIENDA A DIARIO SOMBRERERO SOMBREROS CONFECCIONAR
Los pregoneros anunciaban las horas en las calles antiguamente.,PASADO CALLES ANTIGUAMENTE PREGONEROS HORAS ANUNCIAR
Mi prima aprende esgrima en el club cada miércoles.,CLUB CADA MIÉRCOLES MI PRIMA ESGRIMA APRENDER
El organillero toca melodías en la plaza cada tarde.,PLAZA CADA TARDE ORGANILLERO MELODÍAS TOCAR
Los apicultores extraen miel en el colmenar cada primavera.,COLMENAR CADA PRIMAVERA APICULTORES MIEL EXTRAER
Carmen actualiza la web en la oficina cada lunes.,OFICINA CADA LUNES CARMEN WEB ACTUALIZAR
El tatuador dibuja tatuajes en su estudio todos los días.,ESTUDIO TODOS DÍAS TATUADOR TATUAJES DIBUJAR
Los lavanderos lavaban ropa en el río hace décadas.,PASADO RÍO DÉCADAS LAVANDEROS ROPA LAVAR
Mi abuelo alimenta las palomas en la plaza cada mañana.,PLAZA CADA MAÑANA MI ABUELO PALOMAS ALIMENTAR
El sereno alumbraba las calles con su farol cada noche.,PASADO CALLES CADA NOCHE SERENO FAROL ALUMBRAR
El bebé llora cada noche.,CADA NOCHE BEBÉ LLORAR
Mi hermana cocina todos los domingos.,CADA DOMINGO MI HERMANA COCINAR
Los pájaros cantan cada amanecer.,CADA AMANECER PÁJAROS CANTAR
Pedro estudia desde las cinco.,PEDRO CINCO ESTUDIAR
Las flores crecen cada primavera.,CADA PRIMAVERA FLORES CRECER
María trabaja hasta tarde.,MARÍA TARDE TRABAJAR
El gato maúlla por las noches.,NOCHES GATO MAULLAR
Los niños juegan cada tarde.,CADA TARDE NIÑOS JUGAR
Mi padre descansa los sábados.,SÁBADOS MI PADRE DESCANSAR
Carmen lee antes de dormir.,ANTES DORMIR CARMEN LEER
El sol brilla cada mañana.,CADA MAÑANA SOL BRILLAR
Los estudiantes escriben durante el examen.,EXAMEN ESTUDIANTES ESCRIBIR
Mi madre canta mientras cocina.,MIENTRAS COCINAR MI MADRE CANTAR
El perro ladra por las noches.,NOCHES PERRO LADRAR
Ana duerme ocho horas diarias.,ANA OCHO HORAS DIARIAS DORMIR
Los árboles florecen cada abril.,CADA ABRIL ÁRBOLES FLORECER
Mi hermano corre todas las mañanas.,CADA MAÑANA MI HERMANO CORRER
El teléfono suena continuamente.,TELÉFONO CONTINUAMENTE SONAR
Laura piensa constantemente.,LAURA CONSTANTEMENTE PENSAR
Los abuelos descansan cada tarde.,CADA TARDE ABUELOS DESCANSAR
Mi tía viaja frecuentemente.,MI TÍA FRECUENTEMENTE VIAJAR
El viento sopla cada invierno.,CADA INVIERNO VIENTO SOPLAR
Carmen escucha música a diario.,DIARIO CARMEN MÚSICA ESCUCHAR
Los coches pasan continuamente.,COCHES CONTINUAMENTE PASAR
Mi primo entrena tres veces por semana.,TRES VECES SEMANA MI PRIMO ENTRENAR
La lluvia cae cada otoño.,CADA OTOÑO LLUVIA CAER
Pedro dibuja todos los días.,CADA DÍA PEDRO DIBUJAR
Las estrellas brillan cada noche.,CADA NOCHE ESTRELLAS BRILLAR
Mi madre plancha los domingos.,DOMINGOS MI MADRE PLANCHAR
Ana sonríe siempre.,ANA SIEMPRE SONREÍR
Los gatos duermen muchas horas diarias.,GATOS MUCHAS HORAS DIARIAS DORMIR
Mi hermana baila cada fin de semana.,CADA FIN SEMANA MI HERMANA BAILAR
El reloj marca las horas.,RELOJ HORAS MARCAR
Carmen estudia cada tarde.,CADA TARDE CARMEN ESTUDIAR
Los bebés lloran frecuentemente.,BEBÉS FRECUENTEMENTE LLORAR
Mi padre trabaja de lunes a viernes.,LUNES VIERNES MI PADRE TRABAJAR
Las olas rompen constantemente.,OLAS CONSTANTEMENTE ROMPER
Pedro canta bajo la ducha.,DUCHA PEDRO CANTAR
Los niños ríen todo el tiempo.,TODO TIEMPO NIÑOS REÍR
Mi abuelo tose por las mañanas.,MAÑANAS MI ABUELO TOSER
Ana respira profundamente cada ejercicio.,CADA EJERCICIO ANA PROFUNDAMENTE RESPIRAR
El corazón late sin parar.,CORAZÓN SIN PARAR LATIR
Carmen piensa antes de hablar.,ANTES HABLAR CARMEN PENSAR
Los peces nadan todo el día.,TODO DÍA PECES NADAR
Mi madre suspira a menudo.,A MENUDO MI MADRE SUSPIRAR
El viento silba cada tormenta.,CADA TORMENTA VIENTO SILBAR
Laura camina despacio siempre.,LAURA SIEMPRE DESPACIO CAMINAR
Los perros corretean cada paseo.,CADA PASEO PERROS CORRETEAR
Mi hermano ronca todas las noches.,CADA NOCHE MI HERMANO RONCAR
El tiempo pasa rápidamente.,TIEMPO RÁPIDAMENTE PASAR
Ana escribe cada mañana.,CADA MAÑANA ANA ESCRIBIR
Los niños crecen cada año.,CADA AÑO NIÑOS CRECER
Mi padre fuma después de comer.,DESPUÉS COMER MI PADRE FUMAR
Carmen tiembla cuando tiene frío.,CARMEN FRÍO HAY ELLA TEMBLAR
El agua hierve a cien grados.,AGUA CIEN GRADOS HERVIR
Laura parpadea constantemente.,LAURA CONSTANTEMENTE PARPADEAR
Los dientes duelen a veces.,A VECES DIENTES DOLER
Mi hermana tose desde ayer.,AYER MI HERMANA TOSER
Pedro suda cuando corre.,PEDRO CORRER ÉL SUDAR
Las hojas caen cada otoño.,CADA OTOÑO HOJAS CAER
Mi madre bosteza por las noches.,NOCHES MI MADRE BOSTEZAR
Ana estornuda frecuentemente.,ANA FRECUENTEMENTE ESTORNUDAR
Los músculos duelen después del ejercicio.,DESPUÉS EJERCICIO MÚSCULOS DOLER
Carmen llora cuando está triste.,CARMEN TRISTE ELLA LLORAR
El hielo se derrite con calor.,CALOR HIELO DERRETIR
Mi hermano se rasca continuamente.,MI HERMANO CONTINUAMENTE RASCAR
Laura tirita en invierno.,INVIERNO LAURA TIRITAR
Los ojos lloran con el viento.,VIENTO OJOS LLORAR
Mi padre se afeita cada mañana.,CADA MAÑANA MI PADRE AFEITAR
Pedro se ducha todos los días.,TODOS DÍAS PEDRO DUCHAR
Las plantas necesitan agua regularmente.,PLANTAS REGULARMENTE AGUA NECESITAR
Carmen se peina antes de salir.,ANTES SALIR CARMEN PEINAR
Los huesos crujen a veces.,A VECES HUESOS CRUJIR
Mi madre se maquilla cada mañana.,CADA MAÑANA MI MADRE MAQUILLAR
Ana se viste rápidamente.,ANA RÁPIDAMENTE VESTIR
El pan se endurece con el tiempo.,TIEMPO PAN ENDURECER
Laura se lava las manos frecuentemente.,LAURA FRECUENTEMENTE MANOS LAVAR
Los zapatos se desgastan con el uso.,USO ZAPATOS DESGASTAR
Mi hermano se cepilla los dientes después de comer.,DESPUÉS COMER MI HERMANO DIENTES CEPILLAR
Pedro se estira al levantarse.,LEVANTAR PEDRO ESTIRAR
Las uñas crecen constantemente.,UÑAS CONSTANTEMENTE CRECER
Carmen se concentra durante el estudio.,ESTUDIO CARMEN CONCENTRAR
Los músculos se contraen automáticamente.,MÚSCULOS AUTOMÁTICAMENTE CONTRAER
Mi padre se relaja los fines de semana.,FINES SEMANA MI PADRE RELAJAR
Ana se cansa fácilmente.,ANA FÁCILMENTE CANSAR
El metal se oxida con la humedad.,HUMEDAD METAL OXIDAR
Laura se emociona con facilidad.,LAURA FACILIDAD EMOCIONAR
Los alimentos se estropean sin refrigeración.,SIN REFRIGERACIÓN ALIMENTOS ESTROPEAR
Mi madre se preocupa demasiado.,MI MADRE DEMASIADO PREOCUPAR
Pedro se enfada raramente.,PEDRO RARAMENTE ENFADAR
Las nubes se mueven con el viento.,VIENTO NUBES MOVER
Carmen se alegra cada logro.,CADA LOGRO CARMEN ALEGRAR
Los cristales se empañan con el frío.,FRÍO CRISTALES EMPAÑAR
Mi hermana se deprime en invierno.,INVIERNO MI HERMANA DEPRIMIR
Ana se ilusiona fácilmente.,ANA FÁCILMENTE ILUSIONAR
El café se enfría rápidamente.,CAFÉ RÁPIDAMENTE ENFRIAR
Laura se aburre los domingos.,DOMINGOS LAURA ABURRIR
Los cables se enredan siempre.,SIEMPRE CABLES ENREDAR
Mi padre se levanta temprano.,MI PADRE TEMPRANO LEVANTAR
Pedro se acuesta tarde.,PEDRO TARDE ACOSTAR
Las moscas molestan en verano.,VERANO MOSCAS MOLESTAR
Carmen se arrepiente a veces.,CARMEN A VECES ARREPENTIR
Los músculos se relajan con el descanso.,DESCANSO MÚSCULOS RELAJAR
Mi hermano se despierta varias veces.,MI HERMANO VARIAS VECES DESPERTAR
Ana se desmaya ocasionalmente.,ANA OCASIONALMENTE DESMAYAR
El chocolate se derrite fácilmente.,CHOCOLATE FÁCILMENTE DERRETIR
Laura se tropieza frecuentemente.,LAURA FRECUENTEMENTE TROPEZAR
Los tornillos se aflojan con el tiempo.,TIEMPO TORNILLOS AFLOJAR
Mi madre se equivoca raramente.,MI MADRE RARAMENTE EQUIVOCAR
Pedro se distrae con facilidad.,PEDRO FACILIDAD DISTRAER
Las manchas se quitan con jabón.,JABÓN MANCHAS QUITAR
Carmen se ruboriza cuando miente.,CARMEN MENTIR RUBORIZAR
Los recuerdos se difuminan con los años.,AÑOS RECUERDOS DIFUMINAR
Mi padre se jubila el año próximo.,FUTURO PRÓXIMO AÑO MI PADRE JUBILAR
Ana se gradúa en junio.,FUTURO JUNIO ANA GRADUAR
El agua se evapora con el calor.,CALOR AGUA EVAPORAR
Laura se casa en primavera.,FUTURO PRIMAVERA LAURA CASAR
Los neumáticos se pinchan a veces.,A VECES NEUMÁTICOS PINCHAR
Mi hermano se muda el mes que viene.,FUTURO PRÓXIMO MES MI HERMANO MUDAR
Pedro se divorcia próximamente.,FUTURO PRÓXIMAMENTE PEDRO DIVORCIAR
Las baterías se agotan eventualmente.,EVENTUALMENTE BATERÍAS AGOTAR
Carmen se compromete este año.,FUTURO ESTE AÑO CARMEN COMPROMETER
Los contratos se renuevan anualmente.,ANUALMENTE CONTRATOS RENOVAR
Mi madre se opera en marzo.,FUTURO MARZO MI MADRE OPERAR
Ana se inscribe mañana.,FUTURO MAÑANA ANA INSCRIBIR
El plazo vence la semana próxima.,FUTURO PRÓXIMA SEMANA PLAZO VENCER
Laura se examina el viernes.,FUTURO VIERNES LAURA EXAMINAR
Los documentos caducan periódicamente.,PERIÓDICAMENTE DOCUMENTOS CADUCAR
Mi padre se retira dentro de poco.,FUTURO DENTRO POCO MI PADRE RETIRAR
Pedro se recupera lentamente.,LENTAMENTE PEDRO RECUPERAR
Las promociones terminan pronto.,FUTURO PRONTO PROMOCIONES TERMINAR
Carmen se presenta como candidata.,CARMEN CANDIDATA PRESENTAR
Los cultivos se cosechan en otoño.,OTOÑO CULTIVOS COSECHAR
Mi hermana se especializa próximamente.,FUTURO PRÓXIMAMENTE MI HERMANA ESPECIALIZAR
Ana se certifica el mes entrante.,FUTURO PRÓXIMO MES ANA CERTIFICAR
El curso comienza en septiembre.,FUTURO SEPTIEMBRE CURSO COMENZAR
Laura se matricula en agosto.,FUTURO AGOSTO LAURA MATRICULAR
Los plazos se cumplen rigurosamente.,RIGUROSAMENTE PLAZOS CUMPLIR
Mi hermano se incorpora el lunes.,FUTURO LUNES MI HERMANO INCORPORAR
Pedro se forma continuamente.,CONTINUAMENTE PEDRO FORMAR
Las reuniones se celebran mensualmente.,MENSUALMENTE REUNIONES CELEBRAR
Carmen se capacita constantemente.,CONSTANTEMENTE CARMEN CAPACITAR
Los informes se entregan semanalmente.,SEMANALMENTE INFORMES ENTREGAR
Mi padre se actualiza profesionalmente.,PROFESIONALMENTE MI PADRE ACTUALIZAR
Ana se perfecciona cada curso.,CADA CURSO ANA PERFECCIONAR
El sistema se actualiza automáticamente.,AUTOMÁTICAMENTE SISTEMA ACTUALIZAR
Laura se recicla laboralmente.,LABORALMENTE LAURA RECICLAR
Los empleados se evalúan anualmente.,ANUALMENTE EMPLEADOS EVALUAR
Mi madre se informa diariamente.,DIARIAMENTE MI MADRE INFORMAR
Pedro se documenta antes de decidir.,ANTES DECIDIR PEDRO DOCUMENTAR
Las noticias se difunden rápidamente.,NOTICIAS DIFUNDIR RÁPIDO
Carmen se comunica efectivamente.,CARMEN COMUNICAR EFECTIVO
Los mensajes se transmiten instantáneamente.,MENSAJES TRANSMITIR INSTANTÁNEO
Mi hermano se expresa claramente.,MI HERMANO EXPRESAR CLARO
Ana se manifiesta públicamente.,ANA MANIFESTAR PÚBLICO
El rumor se propaga velozmente.,RUMOR PROPAGAR VELOZ
Laura se pronuncia ocasionalmente.,LAURA PRONUNCIAR OCASIONAL
Los datos se procesan automáticamente.,DATOS PROCESAR AUTOMÁTICO
Mi padre se relaciona fácilmente.,MI PADRE RELACIONAR FÁCIL
Pedro se vincula profesionalmente.,PEDRO VINCULAR PROFESIONAL
Las personas se conectan digitalmente.,PERSONAS CONECTAR DIGITAL
Carmen se asocia estratégicamente.,CARMEN ASOCIAR ESTRATÉGICO
Los grupos se organizan espontáneamente.,GRUPOS ORGANIZAR ESPONTÁNEO
Mi madre se coordina eficientemente.,MI MADRE COORDINAR EFICIENTE
Ana se integra rápidamente.,ANA INTEGRAR RÁPIDO
El equipo se sincroniza perfectamente.,EQUIPO SINCRONIZAR PERFECTO
Laura se adapta fácilmente.,LAURA ADAPTAR FÁCIL
Los sistemas se interconectan automáticamente.,SISTEMAS INTERCONECTAR AUTOMÁTICO
Mi hermano se ajusta constantemente.,MI HERMANO AJUSTAR CONSTANTE
Pedro se acomoda sin problemas.,PEDRO ACOMODAR PROBLEMA NO HAY
Las especies se adaptan evolutivamente.,ESPECIES ADAPTAR EVOLUTIVO
Carmen se transforma gradualmente.,CARMEN TRANSFORMAR GRADUAL
Los organismos se modifican genéticamente.,ORGANISMOS MODIFICAR GENÉTICO
Mi padre se desarrolla profesionalmente.,MI PADRE DESARROLLAR PROFESIONAL
Ana se evoluciona personalmente.,ANA EVOLUCIONAR PERSONAL
El mercado se transforma constantemente.,MERCADO TRANSFORMAR CONSTANTE
Laura se reinventa periódicamente.,LAURA REINVENTAR PERIÓDICO
Los paradigmas se rompen ocasionalmente.,PARADIGMAS ROMPER OCASIONAL
Mi madre se revoluciona mentalmente.,MI MADRE REVOLUCIONAR MENTAL
Pedro se innova continuamente.,PEDRO INNOVAR CONTINUO
Las tecnologías se renuevan aceleradamente.,TECNOLOGÍAS RENOVAR ACELERADO
Carmen se moderniza progresivamente.,CARMEN MODERNIZAR PROGRESIVO
Los métodos se actualizan frecuentemente.,MÉTODOS ACTUALIZAR FRECUENTE
Mi hermano se digitaliza profesionalmente.,MI HERMANO DIGITALIZAR PROFESIONAL
Ana se automatiza laboralmente.,ANA AUTOMATIZAR LABORAL
El trabajo se robotiza gradualmente.,TRABAJO ROBOTIZAR GRADUAL
Laura se tecnifica constantemente.,LAURA TECNIFICAR CONSTANTE
Los procesos se optimizan continuamente.,PROCESOS OPTIMIZAR CONTINUO
Mi padre se eficientiza operativamente.,MI PADRE EFICIENTIZAR OPERATIVO
Pedro se racionaliza económicamente.,PEDRO RACIONALIZAR ECONÓMICO
Las empresas se reestructuran periódicamente.,EMPRESAS REESTRUCTURAR PERIÓDICO
Carmen se reorganiza estratégicamente.,CARMEN REORGANIZAR ESTRATÉGICO
Los negocios se rediseñan frecuentemente.,NEGOCIOS REDISEÑAR FRECUENTE
Mi madre se replantea las cosas.,MI MADRE REPLANTEAR COSAS
Ana se reconfigura mentalmente.,ANA RECONFIGURAR MENTAL
El sistema se resetea ocasionalmente.,SISTEMA RESETEAR OCASIONAL
Laura se reinicia emocionalmente.,LAURA REINICIAR EMOCIONAL
Los ordenadores se reinician automáticamente.,ORDENADORES REINICIAR AUTOMÁTICO
Mi hermano se recarga los fines de semana.,FINES SEMANA MI HERMANO RECARGAR
Pedro se restaura con el descanso.,PEDRO RESTAURAR DESCANSO
Las fuerzas se recuperan naturalmente.,FUERZAS RECUPERAR NATURALMENTE
Carmen se restablece poco a poco.,CARMEN RESTABLECER POCO A POCO
Los tejidos se regeneran constantemente.,TEJIDOS REGENERAR CONSTANTEMENTE
Mi padre se sana gradualmente.,MI PADRE SANAR GRADUALMENTE
Ana se cura con el tiempo.,ANA CURAR TIEMPO
El cuerpo se repara automáticamente.,CUERPO REPARAR AUTOMÁTICAMENTE
Laura se mejora visiblemente.,LAURA MEJORAR VISIBLEMENTE
Las heridas se cierran progresivamente.,HERIDAS CERRAR PROGRESIVAMENTE
Mi madre se alivia con medicación.,MI MADRE ALIVIAR MEDICACIÓN
Pedro se fortalece con ejercicio.,PEDRO FORTALECER EJERCICIO
Los músculos se tonifican con entrenamiento.,MÚSCULOS TONIFICAR ENTRENAMIENTO
Carmen se robustece físicamente.,CARMEN ROBUSTECER FÍSICAMENTE
Los huesos se solidifican con calcio.,HUESOS SOLIDIFICAR CALCIO
Mi hermano se endurece mentalmente.,MI HERMANO ENDURECER MENTALMENTE
Ana se templa con experiencia.,ANA TEMPLAR EXPERIENCIA
El carácter se forja con adversidad.,CARÁCTER FORJAR ADVERSIDAD
Laura se curtió con los años.,PASADO LAURA CURTIR AÑOS
Las personas se maduran con el tiempo.,PERSONAS MADURAR TIEMPO
Mi padre se serena con la edad.,MI PADRE SERENAR EDAD
Pedro se calma progresivamente.,PEDRO CALMAR PROGRESIVAMENTE
Los ánimos se apaciguan eventualmente.,ÁNIMOS APACIGUAR EVENTUALMENTE
Carmen se tranquiliza respirando.,CARMEN TRANQUILIZAR RESPIRAR
Los nervios se relajan con meditación.,NERVIOS RELAJAR MEDITACIÓN
Mi madre se sosega escuchando música.,MI MADRE SOSEGAR ESCUCHAR MÚSICA
Ana se apacigua naturalmente.,ANA APACIGUAR NATURALMENTE
El dolor se mitiga con analgésicos.,DOLOR MITIGAR ANALGÉSICOS
Laura se alivia tomando té.,LAURA ALIVIAR TOMAR TÉ
Los síntomas se reducen gradualmente.,SÍNTOMAS REDUCIR GRADUALMENTE
Mi hermano se mejora notablemente.,MI HERMANO MEJORAR NOTABLEMENTE
Pedro se recupera satisfactoriamente.,PEDRO RECUPERAR SATISFACTORIAMENTE
Las molestias se atenúan con el tiempo.,MOLESTIAS ATENUAR TIEMPO
Carmen se aligeró considerablemente.,PASADO CARMEN ALIGERAR CONSIDERABLEMENTE
Los problemas se solucionan eventualmente.,PROBLEMAS SOLUCIONAR EVENTUALMENTE
Mi padre se resolvió finalmente.,PASADO MI PADRE RESOLVER FINALMENTE
Ana se arregla las cosas.,ANA ARREGLAR COSAS
El asunto se clarifica progresivamente.,ASUNTO CLARIFICAR PROGRESIVAMENTE
Laura se esclarece la situación.,LAURA ESCLARECER SITUACIÓN
Los malentendidos se disipar con diálogo.,MALENTENDIDOS DISIPAR DIÁLOGO
Mi madre se aclara las dudas.,MI MADRE ACLARAR DUDAS
